,City,Cuisine,Name,Locality,Address,Price range,Cost for two,Currency,User rating,Number of votes,Menu url,ID
478,Lisbon,"Healthy Food, Mediterranean, Tapas, Beverages, Desserts",Noobai,Bica,"Miradouro de Santa Catarina (Adamastor), Bica, Lisboa 1200-401",3,34,€,4.1,1095,https://www.zomato.com/grande-lisboa/noobai-bica-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8203656
479,Lisbon,"Italian, Pizza",La Trattoria,Rato,"Rua Artilharia 1, 79/81, Rato, Lisboa",4,40,€,4.3,1043,https://www.zomato.com/grande-lisboa/la-trattoria-rato-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8200291
480,Lisbon,"Mozambican, African",O Cantinho do Aziz,Mouraria,"Rua de São Lourenço, 3-5, Mouraria, Lisboa 1100-530",3,25,€,4.1,996,https://www.zomato.com/grande-lisboa/o-cantinho-do-aziz-mouraria-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8201416
481,Lisbon,"Italian, Pizza",Pizzaria Luzzo,Avenida da Liberdade,"Rua de Santa Marta, 37A-C, Avenida da Liberdade, Lisboa",3,35,€,4.4,2100,https://www.zomato.com/grande-lisboa/pizzaria-luzzo-avenida-da-liberdade-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8201928
482,Lisbon,"Juices, Healthy Food, Finger Food",Frutaria Café,Baixa,"Rua dos Fanqueiros, 269, Baixa, Lisboa",2,20,€,4.3,742,https://www.zomato.com/grande-lisboa/frutaria-café-baixa-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,18571082
483,Lisbon,"Tapas, Petiscos",Beija-me Burro,Oeiras e São Julião da Barra,"Rua Doutor António Patrício Gouveia, 8, Loja B, Oeiras e São Julião da Barra, Oeiras",4,40,€,4.4,977,https://www.zomato.com/grande-lisboa/beija-me-burro-oeiras-e-são-julião-da-barra-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,18293899
484,Lisbon,"Portuguese, Author, Petiscos",Mesa do Bairro,Areeiro,"Rua Reis Gomes, Areeiro, Lisboa 1000-259",4,40,€,4.4,780,https://www.zomato.com/grande-lisboa/mesa-do-bairro-areeiro-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8214057
485,Lisbon,"Petiscos, Author, Contemporary, Beverages",Pharmacia Felicidade,Bica,"Rua Marechal Saldanha, 1, Bica, Lisboa",4,45,€,4.3,867,https://www.zomato.com/grande-lisboa/pharmacia-felicidade-bica-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8203591
486,Lisbon,"Pizza, Contemporary",Aquele Lugar Que Não Existe,Marvila,"Rua do Açúcar, 89, Marvila, Lisboa",3,25,€,4.3,1017,https://www.zomato.com/grande-lisboa/aquele-lugar-que-não-existe-marvila-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,18459410
487,Lisbon,"Steak, Burger, Beverages",C.O.W - Beef & Cocktails,Santos,"Largo de Santos, 9A, Santos, Lisboa 1200-808",4,40,€,4.2,723,https://www.zomato.com/grande-lisboa/c-o-w-beef-cocktails-santos-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,18364578
488,Lisbon,"Austrian, Cafe, Desserts, Finger Food",Kaffeehaus,Chiado,"Rua Anchieta, 3, Chiado, Lisboa",3,30,€,4.3,1483,https://www.zomato.com/grande-lisboa/kaffeehaus-chiado-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8200422
489,Lisbon,"Burger, American",The Fifties American Diner,Parque das Nações,"Avenida Dom João II N43 E Parque das Nações, Lisboa 1990083",3,30,€,4.0,2012,https://www.zomato.com/grande-lisboa/the-fifties-american-diner-parque-das-nações-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8203438
490,Lisbon,"Lebanese, Mediterranean, Oriental, Vegetarian, Arabian",Muito BEY,Cais do Sodré,"Rua da Moeda, 8, Cais do Sodre, Lisboa 1200-275",4,45,€,4.0,812,https://www.zomato.com/grande-lisboa/muito-bey-cais-do-sodré-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,18388620
491,Lisbon,"Minhota, Portuguese",Solar dos Presuntos,Avenida da Liberdade,"Rua das Portas de Santo Antão, 150, Avenida da Liberdade, Lisboa",4,70,€,4.8,1228,https://www.zomato.com/grande-lisboa/solar-dos-presuntos-avenida-da-liberdade-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8201384
492,Lisbon,"Japanese, Sushi",Suntory,Campolide,"Avenida Conselheiro Fernando de Sousa, 23A, Campolide, Lisboa 1070-074",4,60,€,4.5,1360,https://www.zomato.com/grande-lisboa/suntory-campolide-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8209554
493,Lisbon,"Petiscos, Tapas, Portuguese",Taberna A Preciosa - Petiscos,Lumiar,"Calçada de Carriche, 2",4,40,€,4.1,1084,https://www.zomato.com/grande-lisboa/taberna-a-preciosa-petiscos-lumiar-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8211443
494,Lisbon,"Japanese, Sushi",Sushi Factory,"LX Factory, Alcântara","LX Factory, Rua Rodrigues Faria, 103, Edifício I, Piso 0, Espaço 0.1F, Alcântara, Lisboa",4,40,€,4.1,2672,https://www.zomato.com/grande-lisboa/sushi-factory-alcântara-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8201066
495,Lisbon,"Petiscos, Fresh Fish, Contemporary, International",Água pela Barba,Bica,"Rua do Almada, 29/31, Bica, Lisboa",4,40,€,4.4,675,https://www.zomato.com/grande-lisboa/água-pela-barba-bica-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,18419339
496,Lisbon,"Sushi, Japanese",Hikidashi - Taberna Japonesa,Campo de Ourique,"Rua Coelho da Rocha, 20A, Campo de Ourique, Lisboa",4,80,€,4.7,721,https://www.zomato.com/grande-lisboa/hikidashi-taberna-japonesa-campo-de-ourique-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8212176
497,Lisbon,"Portuguese, Grill",Paço de Carnide,Carnide,"Rua do Norte, 11, Carnide, Lisboa",3,30,€,4.5,981,https://www.zomato.com/grande-lisboa/paço-de-carnide-carnide-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8205428
498,Lisbon,"Cafe, Desserts, Finger Food, Crepes",Tease,Príncipe Real,"Rua Quintinha, 70 B, Príncipe Real, Lisboa",2,10,€,4.4,827,https://www.zomato.com/grande-lisboa/tease-príncipe-real-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,8211197
499,Lisbon,"Vegetarian, Desserts, Finger Food",O Botanista,Cais do Sodré,"Rua Dom Luís I, 19, Cais do Sodré, Lisboa 1200-109",3,30,€,4.4,571,https://www.zomato.com/grande-lisboa/o-botanista-cais-do-sodré-lisboa/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,18757759
