IATA,Airport,Location,Area,Passenger Role,2010,2011,2012,2013,2014,2015,2016,2017
ANF,Cerro Moreno International Airport,Antofagasta,south_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANR,Antwerp International Airport,Antwerp,belgium,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANU,VC Bird International Airport,Antigua,carribean,Small,0.0,0.0,0.0,0.0,0.0,919748.0,0.0,0.0
AOI,Ancona Airport,Ancona,italy,Small,0.0,0.0,0.0,0.0,0.0,521065.0,0.0,0.0
AOJ,Aomori Airport,Aomori,east_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOK,Karpathos Island National Airport,Karpathos Island,greece,Non-Hub,0.0,0.0,0.0,0.0,0.0,222805.0,0.0,0.0
APL,Nampula Airport,Nampula,southern_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APW,Faleolo International Airport,Apia,oceania,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQJ,King Hussein International Airport,Aqaba,middle_east,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP,Rodríguez Ballón International Airport,Arequipa,south_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARH,Talagi Airport,Arkhangelsk,russia,Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARN,Stockholm-Arlanda Airport,Stockholm,nordics,Large,16962416.0,19069065.0,19642029.0,20681554.0,22419739.0,23142536.0,0.0,0.0
ASB,Ashgabat Airport,Ashgabat,central_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASF,Narimanovo Airport,Astrakhan,russia,Small,0.0,0.0,0.0,0.0,0.0,799536.0,0.0,0.0
ASM,Asmara International Airport,Asmara,horn_of_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASR,Erkilet Airport,Kayseri,europe_misc,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,Silvio Pettirossi International Airport,Asunción,south_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASW,Aswan International Airport,Aswan,north_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATH,Athens International Airport,Athens,greece,Large,15411099.0,14446971.0,12944041.0,12536057.0,15196369.0,18087377.0,20017530.0,21737787.0
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,united_states,Large,89331622.0,92389023.0,94956643.0,94430785.0,96178899.0,101491106.0,104171935.0,103902992.0
ATQ,Sri Guru Ram Dass Jee International Airport,Amritsar,south_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATW,Appleton International Airport,Appleton,united_states,Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATZ,Assiut Airport,Asyut,north_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUA,Queen Beatrix International Airport,Oranjestad,carribean,Small,0.0,0.0,0.0,0.0,0.0,2089021.0,0.0,0.0
AUH,Abu Dhabi International Airport,Abu Dhabi,middle_east,Large,0.0,0.0,0.0,0.0,0.0,0.0,24482119.0,23760561.0
AUS,Austin-Bergstrom International Airport,Austin,united_states,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13889305.0
AXA,Clayton J. Lloyd International Airport,The Valley,carribean,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXM,El Edén International Airport,Armenia,south_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXT,Akita Airport,Akita,east_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AYT,Antalya Airport,Antalya,europe_misc,Large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25931659.0
AZA,Phoenix–Mesa Gateway Airport,Phoenix/Mesa,united_states,Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,Adrar,north_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZS,Samaná El Catey International Airport,Samana,carribean,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAH,Bahrain International Airport,Manama,middle_east,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAQ,Ernesto Cortissoz International Airport,Barranquilla,south_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAX,Barnaul Airport,Barnaul,russia,Non-Hub,0.0,0.0,0.0,0.0,0.0,378010.0,0.0,0.0
BBI,Biju Patnaik International Airport,Bhubaneswar,south_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBK,Kasane Airport,Kasane,southern_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCD,Bacolod–Silay International Airport,Bacolod,southeast_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCN,Barcelona Airport,Barcelona,spain,Large,29197135.0,34387597.0,35131771.0,35210735.0,37540326.0,39674095.0,44131031.0,0.0
BDA,L.F. Wade International Airport,"St. George's, Bermuda",north_america,Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDJ,Syamsudin Noor Airport,Banjarmasin,southeast_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDL,Bradley International Airport,Hartford,united_states,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6436407.0
BDO,Husein Sastranegara International Airport,Bandung,southeast_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDS,Brindisi Airport,Brindisi,italy,Small,0.0,0.0,0.0,0.0,0.0,2258292.0,0.0,0.0
BEF,Bluefields Airport,Bluefields,central_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEG,Belgrade Nikola Tesla Airport,Belgrade,europe_misc,Medium,2698730.0,3124633.0,3363919.0,3543194.0,4638577.0,4776110.0,4924992.0,5343420.0
BEL,Val de Cães International Airport,Belém,south_america,Medium,0.0,0.0,0.0,0.0,0.0,3714761.0,0.0,0.0
BEN,Benina International Airport,Benghazi,north_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BER,Berlin Brandenburg Airport (Future),Berlin,germany,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BES,Brest Bretagne Airport,Brest,france,Small,0.0,0.0,0.0,0.0,998393.0,0.0,0.0,0.0
BEW,Beira Airport,Beira,southern_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEY,Beirut Rafic Hariri International Airport,Beirut,middle_east,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFI,King County International Airport,Seattle,united_states,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFS,Belfast International Airport,Belfast,united_kingdom,Medium,4016170.0,4103620.0,4313685.0,4023336.0,4033954.0,4391292.0,5147546.0,5844000.0
BGA,Palonegro International Airport,Bucaramanga,south_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGF,M'Poko International Airport,Bangui,west_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGI,Grantley Adams International Airport,Christ Church,carribean,Small,0.0,0.0,0.0,0.0,0.0,1966789.0,0.0,0.0
BGO,Bergen Airport,Bergen,nordics,Medium,0.0,0.0,0.0,0.0,0.0,6020866.0,0.0,0.0
BGR,Bangor International Airport,Bangor,united_states,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGW,Baghdad International Airport,Baghdad,middle_east,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGY,Orio al Serio Airport,Bergamo,italy,Medium,7677224.0,8419948.0,8890720.0,8964376.0,8774256.0,10404625.0,0.0,0.0
BHD,George Best Belfast City Airport,Belfast,united_kingdom,Small,0.0,0.0,0.0,0.0,0.0,2692713.0,0.0,0.0
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,united_states,Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2479918.0
